"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","LengthOfStay","NumberOfStays"
"1997/98","SB0801"," ","SMR01"," ","< 1 day",0
"1997/98","SB0801"," ","SMR01"," ","1 - 7 days",0
"1997/98","SB0801"," ","SMR01"," ","8 - 28 days",0
"1997/98","SB0801"," ","SMR01"," ","29 days - 6 months",0
"1997/98","SB0801"," ","SMR01"," ","> 6 months",0
"1997/98","SB0801"," ","SMR04"," ","< 1 day",0
"1997/98","SB0801"," ","SMR04"," ","1 - 7 days",0
"1997/98","SB0801"," ","SMR04"," ","8 - 28 days",0
"1997/98","SB0801"," ","SMR04"," ","29 days - 6 months",0
"1997/98","SB0801"," ","SMR04"," ","> 6 months",0
"1997/98","SB0801"," ","Total","d","< 1 day",0
"1997/98","SB0801"," ","Total","d","1 - 7 days",0
"1997/98","SB0801"," ","Total","d","8 - 28 days",0
"1997/98","SB0801"," ","Total","d","29 days - 6 months",0
"1997/98","SB0801"," ","Total","d","> 6 months",0
"1997/98","S08000015"," ","SMR01"," ","< 1 day",220
"1997/98","S08000015"," ","SMR01"," ","1 - 7 days",460
"1997/98","S08000015"," ","SMR01"," ","8 - 28 days",130
"1997/98","S08000015"," ","SMR01"," ","29 days - 6 months",50
"1997/98","S08000015"," ","SMR01"," ","> 6 months",10
"1997/98","S08000015"," ","SMR04"," ","< 1 day",50
"1997/98","S08000015"," ","SMR04"," ","1 - 7 days",630
"1997/98","S08000015"," ","SMR04"," ","8 - 28 days",1080
"1997/98","S08000015"," ","SMR04"," ","29 days - 6 months",590
"1997/98","S08000015"," ","SMR04"," ","> 6 months",140
"1997/98","S08000015"," ","Total","d","< 1 day",270
"1997/98","S08000015"," ","Total","d","1 - 7 days",1080
"1997/98","S08000015"," ","Total","d","8 - 28 days",1210
"1997/98","S08000015"," ","Total","d","29 days - 6 months",640
"1997/98","S08000015"," ","Total","d","> 6 months",150
"1997/98","S08000016"," ","SMR01"," ","< 1 day",40
"1997/98","S08000016"," ","SMR01"," ","1 - 7 days",90
"1997/98","S08000016"," ","SMR01"," ","8 - 28 days",60
"1997/98","S08000016"," ","SMR01"," ","29 days - 6 months",40
"1997/98","S08000016"," ","SMR01"," ","> 6 months",0
"1997/98","S08000016"," ","SMR04"," ","< 1 day",10
"1997/98","S08000016"," ","SMR04"," ","1 - 7 days",200
"1997/98","S08000016"," ","SMR04"," ","8 - 28 days",230
"1997/98","S08000016"," ","SMR04"," ","29 days - 6 months",140
"1997/98","S08000016"," ","SMR04"," ","> 6 months",60
"1997/98","S08000016"," ","Total","d","< 1 day",50
"1997/98","S08000016"," ","Total","d","1 - 7 days",290
"1997/98","S08000016"," ","Total","d","8 - 28 days",290
"1997/98","S08000016"," ","Total","d","29 days - 6 months",180
"1997/98","S08000016"," ","Total","d","> 6 months",60
"1997/98","S08000017"," ","SMR01"," ","< 1 day",40
"1997/98","S08000017"," ","SMR01"," ","1 - 7 days",120
"1997/98","S08000017"," ","SMR01"," ","8 - 28 days",50
"1997/98","S08000017"," ","SMR01"," ","29 days - 6 months",20
"1997/98","S08000017"," ","SMR01"," ","> 6 months",0
"1997/98","S08000017"," ","SMR04"," ","< 1 day",20
"1997/98","S08000017"," ","SMR04"," ","1 - 7 days",190
"1997/98","S08000017"," ","SMR04"," ","8 - 28 days",250
"1997/98","S08000017"," ","SMR04"," ","29 days - 6 months",280
"1997/98","S08000017"," ","SMR04"," ","> 6 months",70
"1997/98","S08000017"," ","Total","d","< 1 day",50
"1997/98","S08000017"," ","Total","d","1 - 7 days",320
"1997/98","S08000017"," ","Total","d","8 - 28 days",300
"1997/98","S08000017"," ","Total","d","29 days - 6 months",300
"1997/98","S08000017"," ","Total","d","> 6 months",70
"1997/98","S08000029"," ","SMR01"," ","< 1 day",60
"1997/98","S08000029"," ","SMR01"," ","1 - 7 days",130
"1997/98","S08000029"," ","SMR01"," ","8 - 28 days",30
"1997/98","S08000029"," ","SMR01"," ","29 days - 6 months",30
"1997/98","S08000029"," ","SMR01"," ","> 6 months",0
"1997/98","S08000029"," ","SMR04"," ","< 1 day",30
"1997/98","S08000029"," ","SMR04"," ","1 - 7 days",460
"1997/98","S08000029"," ","SMR04"," ","8 - 28 days",580
"1997/98","S08000029"," ","SMR04"," ","29 days - 6 months",540
"1997/98","S08000029"," ","SMR04"," ","> 6 months",120
"1997/98","S08000029"," ","Total","d","< 1 day",90
"1997/98","S08000029"," ","Total","d","1 - 7 days",590
"1997/98","S08000029"," ","Total","d","8 - 28 days",610
"1997/98","S08000029"," ","Total","d","29 days - 6 months",560
"1997/98","S08000029"," ","Total","d","> 6 months",130
"1997/98","S08000019"," ","SMR01"," ","< 1 day",30
"1997/98","S08000019"," ","SMR01"," ","1 - 7 days",130
"1997/98","S08000019"," ","SMR01"," ","8 - 28 days",70
"1997/98","S08000019"," ","SMR01"," ","29 days - 6 months",20
"1997/98","S08000019"," ","SMR01"," ","> 6 months",0
"1997/98","S08000019"," ","SMR04"," ","< 1 day",90
"1997/98","S08000019"," ","SMR04"," ","1 - 7 days",260
"1997/98","S08000019"," ","SMR04"," ","8 - 28 days",550
"1997/98","S08000019"," ","SMR04"," ","29 days - 6 months",410
"1997/98","S08000019"," ","SMR04"," ","> 6 months",120
"1997/98","S08000019"," ","Total","d","< 1 day",120
"1997/98","S08000019"," ","Total","d","1 - 7 days",390
"1997/98","S08000019"," ","Total","d","8 - 28 days",630
"1997/98","S08000019"," ","Total","d","29 days - 6 months",430
"1997/98","S08000019"," ","Total","d","> 6 months",120
"1997/98","S08000020"," ","SMR01"," ","< 1 day",140
"1997/98","S08000020"," ","SMR01"," ","1 - 7 days",490
"1997/98","S08000020"," ","SMR01"," ","8 - 28 days",190
"1997/98","S08000020"," ","SMR01"," ","29 days - 6 months",80
"1997/98","S08000020"," ","SMR01"," ","> 6 months",0
"1997/98","S08000020"," ","SMR04"," ","< 1 day",40
"1997/98","S08000020"," ","SMR04"," ","1 - 7 days",510
"1997/98","S08000020"," ","SMR04"," ","8 - 28 days",900
"1997/98","S08000020"," ","SMR04"," ","29 days - 6 months",650
"1997/98","S08000020"," ","SMR04"," ","> 6 months",170
"1997/98","S08000020"," ","Total","d","< 1 day",190
"1997/98","S08000020"," ","Total","d","1 - 7 days",1000
"1997/98","S08000020"," ","Total","d","8 - 28 days",1090
"1997/98","S08000020"," ","Total","d","29 days - 6 months",730
"1997/98","S08000020"," ","Total","d","> 6 months",170
"1997/98","S08000031"," ","SMR01"," ","< 1 day",380
"1997/98","S08000031"," ","SMR01"," ","1 - 7 days",1220
"1997/98","S08000031"," ","SMR01"," ","8 - 28 days",510
"1997/98","S08000031"," ","SMR01"," ","29 days - 6 months",280
"1997/98","S08000031"," ","SMR01"," ","> 6 months",50
"1997/98","S08000031"," ","SMR04"," ","< 1 day",160
"1997/98","S08000031"," ","SMR04"," ","1 - 7 days",1900
"1997/98","S08000031"," ","SMR04"," ","8 - 28 days",2850
"1997/98","S08000031"," ","SMR04"," ","29 days - 6 months",2290
"1997/98","S08000031"," ","SMR04"," ","> 6 months",640
"1997/98","S08000031"," ","Total","d","< 1 day",540
"1997/98","S08000031"," ","Total","d","1 - 7 days",3120
"1997/98","S08000031"," ","Total","d","8 - 28 days",3360
"1997/98","S08000031"," ","Total","d","29 days - 6 months",2570
"1997/98","S08000031"," ","Total","d","> 6 months",690
"1997/98","S08000022"," ","SMR01"," ","< 1 day",160
"1997/98","S08000022"," ","SMR01"," ","1 - 7 days",490
"1997/98","S08000022"," ","SMR01"," ","8 - 28 days",200
"1997/98","S08000022"," ","SMR01"," ","29 days - 6 months",70
"1997/98","S08000022"," ","SMR01"," ","> 6 months",10
"1997/98","S08000022"," ","SMR04"," ","< 1 day",30
"1997/98","S08000022"," ","SMR04"," ","1 - 7 days",480
"1997/98","S08000022"," ","SMR04"," ","8 - 28 days",770
"1997/98","S08000022"," ","SMR04"," ","29 days - 6 months",510
"1997/98","S08000022"," ","SMR04"," ","> 6 months",110
"1997/98","S08000022"," ","Total","d","< 1 day",190
"1997/98","S08000022"," ","Total","d","1 - 7 days",970
"1997/98","S08000022"," ","Total","d","8 - 28 days",970
"1997/98","S08000022"," ","Total","d","29 days - 6 months",580
"1997/98","S08000022"," ","Total","d","> 6 months",120
"1997/98","S08000032"," ","SMR01"," ","< 1 day",130
"1997/98","S08000032"," ","SMR01"," ","1 - 7 days",330
"1997/98","S08000032"," ","SMR01"," ","8 - 28 days",100
"1997/98","S08000032"," ","SMR01"," ","29 days - 6 months",70
"1997/98","S08000032"," ","SMR01"," ","> 6 months",10
"1997/98","S08000032"," ","SMR04"," ","< 1 day",80
"1997/98","S08000032"," ","SMR04"," ","1 - 7 days",610
"1997/98","S08000032"," ","SMR04"," ","8 - 28 days",890
"1997/98","S08000032"," ","SMR04"," ","29 days - 6 months",560
"1997/98","S08000032"," ","SMR04"," ","> 6 months",150
"1997/98","S08000032"," ","Total","d","< 1 day",210
"1997/98","S08000032"," ","Total","d","1 - 7 days",940
"1997/98","S08000032"," ","Total","d","8 - 28 days",990
"1997/98","S08000032"," ","Total","d","29 days - 6 months",630
"1997/98","S08000032"," ","Total","d","> 6 months",160
"1997/98","S08000024"," ","SMR01"," ","< 1 day",210
"1997/98","S08000024"," ","SMR01"," ","1 - 7 days",470
"1997/98","S08000024"," ","SMR01"," ","8 - 28 days",200
"1997/98","S08000024"," ","SMR01"," ","29 days - 6 months",110
"1997/98","S08000024"," ","SMR01"," ","> 6 months",0
"1997/98","S08000024"," ","SMR04"," ","< 1 day",90
"1997/98","S08000024"," ","SMR04"," ","1 - 7 days",1390
"1997/98","S08000024"," ","SMR04"," ","8 - 28 days",2110
"1997/98","S08000024"," ","SMR04"," ","29 days - 6 months",1280
"1997/98","S08000024"," ","SMR04"," ","> 6 months",290
"1997/98","S08000024"," ","Total","d","< 1 day",300
"1997/98","S08000024"," ","Total","d","1 - 7 days",1860
"1997/98","S08000024"," ","Total","d","8 - 28 days",2300
"1997/98","S08000024"," ","Total","d","29 days - 6 months",1390
"1997/98","S08000024"," ","Total","d","> 6 months",290
"1997/98","S08000025"," ","SMR01"," ","< 1 day",20
"1997/98","S08000025"," ","SMR01"," ","1 - 7 days",30
"1997/98","S08000025"," ","SMR01"," ","8 - 28 days",10
"1997/98","S08000025"," ","SMR01"," ","29 days - 6 months",0
"1997/98","S08000025"," ","SMR01"," ","> 6 months",0
"1997/98","S08000025"," ","SMR04"," ","< 1 day",0
"1997/98","S08000025"," ","SMR04"," ","1 - 7 days",0
"1997/98","S08000025"," ","SMR04"," ","8 - 28 days",0
"1997/98","S08000025"," ","SMR04"," ","29 days - 6 months",0
"1997/98","S08000025"," ","SMR04"," ","> 6 months",0
"1997/98","S08000025"," ","Total","d","< 1 day",20
"1997/98","S08000025"," ","Total","d","1 - 7 days",30
"1997/98","S08000025"," ","Total","d","8 - 28 days",10
"1997/98","S08000025"," ","Total","d","29 days - 6 months",0
"1997/98","S08000025"," ","Total","d","> 6 months",0
"1997/98","S08000026"," ","SMR01"," ","< 1 day",40
"1997/98","S08000026"," ","SMR01"," ","1 - 7 days",60
"1997/98","S08000026"," ","SMR01"," ","8 - 28 days",10
"1997/98","S08000026"," ","SMR01"," ","29 days - 6 months",10
"1997/98","S08000026"," ","SMR01"," ","> 6 months",0
"1997/98","S08000026"," ","SMR04"," ","< 1 day",0
"1997/98","S08000026"," ","SMR04"," ","1 - 7 days",0
"1997/98","S08000026"," ","SMR04"," ","8 - 28 days",0
"1997/98","S08000026"," ","SMR04"," ","29 days - 6 months",0
"1997/98","S08000026"," ","SMR04"," ","> 6 months",0
"1997/98","S08000026"," ","Total","d","< 1 day",40
"1997/98","S08000026"," ","Total","d","1 - 7 days",60
"1997/98","S08000026"," ","Total","d","8 - 28 days",10
"1997/98","S08000026"," ","Total","d","29 days - 6 months",10
"1997/98","S08000026"," ","Total","d","> 6 months",0
"1997/98","S08000030"," ","SMR01"," ","< 1 day",140
"1997/98","S08000030"," ","SMR01"," ","1 - 7 days",280
"1997/98","S08000030"," ","SMR01"," ","8 - 28 days",150
"1997/98","S08000030"," ","SMR01"," ","29 days - 6 months",90
"1997/98","S08000030"," ","SMR01"," ","> 6 months",10
"1997/98","S08000030"," ","SMR04"," ","< 1 day",70
"1997/98","S08000030"," ","SMR04"," ","1 - 7 days",640
"1997/98","S08000030"," ","SMR04"," ","8 - 28 days",980
"1997/98","S08000030"," ","SMR04"," ","29 days - 6 months",790
"1997/98","S08000030"," ","SMR04"," ","> 6 months",200
"1997/98","S08000030"," ","Total","d","< 1 day",210
"1997/98","S08000030"," ","Total","d","1 - 7 days",910
"1997/98","S08000030"," ","Total","d","8 - 28 days",1130
"1997/98","S08000030"," ","Total","d","29 days - 6 months",880
"1997/98","S08000030"," ","Total","d","> 6 months",210
"1997/98","S08000028"," ","SMR01"," ","< 1 day",10
"1997/98","S08000028"," ","SMR01"," ","1 - 7 days",60
"1997/98","S08000028"," ","SMR01"," ","8 - 28 days",40
"1997/98","S08000028"," ","SMR01"," ","29 days - 6 months",10
"1997/98","S08000028"," ","SMR01"," ","> 6 months",0
"1997/98","S08000028"," ","SMR04"," ","< 1 day",0
"1997/98","S08000028"," ","SMR04"," ","1 - 7 days",40
"1997/98","S08000028"," ","SMR04"," ","8 - 28 days",100
"1997/98","S08000028"," ","SMR04"," ","29 days - 6 months",20
"1997/98","S08000028"," ","SMR04"," ","> 6 months",10
"1997/98","S08000028"," ","Total","d","< 1 day",20
"1997/98","S08000028"," ","Total","d","1 - 7 days",100
"1997/98","S08000028"," ","Total","d","8 - 28 days",150
"1997/98","S08000028"," ","Total","d","29 days - 6 months",30
"1997/98","S08000028"," ","Total","d","> 6 months",10
"1997/98","SB0802"," ","SMR01"," ","< 1 day",0
"1997/98","SB0802"," ","SMR01"," ","1 - 7 days",0
"1997/98","SB0802"," ","SMR01"," ","8 - 28 days",0
"1997/98","SB0802"," ","SMR01"," ","29 days - 6 months",0
"1997/98","SB0802"," ","SMR01"," ","> 6 months",0
"1997/98","SB0802"," ","SMR04"," ","< 1 day",0
"1997/98","SB0802"," ","SMR04"," ","1 - 7 days",0
"1997/98","SB0802"," ","SMR04"," ","8 - 28 days",0
"1997/98","SB0802"," ","SMR04"," ","29 days - 6 months",10
"1997/98","SB0802"," ","SMR04"," ","> 6 months",20
"1997/98","SB0802"," ","Total","d","< 1 day",0
"1997/98","SB0802"," ","Total","d","1 - 7 days",0
"1997/98","SB0802"," ","Total","d","8 - 28 days",0
"1997/98","SB0802"," ","Total","d","29 days - 6 months",10
"1997/98","SB0802"," ","Total","d","> 6 months",20
"1997/98","S92000003","d","SMR01"," ","< 1 day",1630
"1997/98","S92000003","d","SMR01"," ","1 - 7 days",4370
"1997/98","S92000003","d","SMR01"," ","8 - 28 days",1740
"1997/98","S92000003","d","SMR01"," ","29 days - 6 months",860
"1997/98","S92000003","d","SMR01"," ","> 6 months",100
"1997/98","S92000003","d","SMR04"," ","< 1 day",660
"1997/98","S92000003","d","SMR04"," ","1 - 7 days",7310
"1997/98","S92000003","d","SMR04"," ","8 - 28 days",11290
"1997/98","S92000003","d","SMR04"," ","29 days - 6 months",8080
"1997/98","S92000003","d","SMR04"," ","> 6 months",2110
"1997/98","S92000003","d","Total","d","< 1 day",2290
"1997/98","S92000003","d","Total","d","1 - 7 days",11670
"1997/98","S92000003","d","Total","d","8 - 28 days",13040
"1997/98","S92000003","d","Total","d","29 days - 6 months",8940
"1997/98","S92000003","d","Total","d","> 6 months",2200
"1998/99","SB0801"," ","SMR01"," ","< 1 day",0
"1998/99","SB0801"," ","SMR01"," ","1 - 7 days",0
"1998/99","SB0801"," ","SMR01"," ","8 - 28 days",0
"1998/99","SB0801"," ","SMR01"," ","29 days - 6 months",0
"1998/99","SB0801"," ","SMR01"," ","> 6 months",0
"1998/99","SB0801"," ","SMR04"," ","< 1 day",0
"1998/99","SB0801"," ","SMR04"," ","1 - 7 days",0
"1998/99","SB0801"," ","SMR04"," ","8 - 28 days",0
"1998/99","SB0801"," ","SMR04"," ","29 days - 6 months",0
"1998/99","SB0801"," ","SMR04"," ","> 6 months",0
"1998/99","SB0801"," ","Total","d","< 1 day",0
"1998/99","SB0801"," ","Total","d","1 - 7 days",0
"1998/99","SB0801"," ","Total","d","8 - 28 days",0
"1998/99","SB0801"," ","Total","d","29 days - 6 months",0
"1998/99","SB0801"," ","Total","d","> 6 months",0
"1998/99","S08000015"," ","SMR01"," ","< 1 day",220
"1998/99","S08000015"," ","SMR01"," ","1 - 7 days",420
"1998/99","S08000015"," ","SMR01"," ","8 - 28 days",100
"1998/99","S08000015"," ","SMR01"," ","29 days - 6 months",60
"1998/99","S08000015"," ","SMR01"," ","> 6 months",10
"1998/99","S08000015"," ","SMR04"," ","< 1 day",50
"1998/99","S08000015"," ","SMR04"," ","1 - 7 days",650
"1998/99","S08000015"," ","SMR04"," ","8 - 28 days",1040
"1998/99","S08000015"," ","SMR04"," ","29 days - 6 months",650
"1998/99","S08000015"," ","SMR04"," ","> 6 months",150
"1998/99","S08000015"," ","Total","d","< 1 day",270
"1998/99","S08000015"," ","Total","d","1 - 7 days",1070
"1998/99","S08000015"," ","Total","d","8 - 28 days",1140
"1998/99","S08000015"," ","Total","d","29 days - 6 months",710
"1998/99","S08000015"," ","Total","d","> 6 months",150
"1998/99","S08000016"," ","SMR01"," ","< 1 day",30
"1998/99","S08000016"," ","SMR01"," ","1 - 7 days",80
"1998/99","S08000016"," ","SMR01"," ","8 - 28 days",60
"1998/99","S08000016"," ","SMR01"," ","29 days - 6 months",30
"1998/99","S08000016"," ","SMR01"," ","> 6 months",0
"1998/99","S08000016"," ","SMR04"," ","< 1 day",0
"1998/99","S08000016"," ","SMR04"," ","1 - 7 days",180
"1998/99","S08000016"," ","SMR04"," ","8 - 28 days",190
"1998/99","S08000016"," ","SMR04"," ","29 days - 6 months",180
"1998/99","S08000016"," ","SMR04"," ","> 6 months",50
"1998/99","S08000016"," ","Total","d","< 1 day",40
"1998/99","S08000016"," ","Total","d","1 - 7 days",260
"1998/99","S08000016"," ","Total","d","8 - 28 days",250
"1998/99","S08000016"," ","Total","d","29 days - 6 months",210
"1998/99","S08000016"," ","Total","d","> 6 months",50
"1998/99","S08000017"," ","SMR01"," ","< 1 day",60
"1998/99","S08000017"," ","SMR01"," ","1 - 7 days",140
"1998/99","S08000017"," ","SMR01"," ","8 - 28 days",80
"1998/99","S08000017"," ","SMR01"," ","29 days - 6 months",10
"1998/99","S08000017"," ","SMR01"," ","> 6 months",0
"1998/99","S08000017"," ","SMR04"," ","< 1 day",10
"1998/99","S08000017"," ","SMR04"," ","1 - 7 days",180
"1998/99","S08000017"," ","SMR04"," ","8 - 28 days",240
"1998/99","S08000017"," ","SMR04"," ","29 days - 6 months",270
"1998/99","S08000017"," ","SMR04"," ","> 6 months",80
"1998/99","S08000017"," ","Total","d","< 1 day",70
"1998/99","S08000017"," ","Total","d","1 - 7 days",320
"1998/99","S08000017"," ","Total","d","8 - 28 days",320
"1998/99","S08000017"," ","Total","d","29 days - 6 months",280
"1998/99","S08000017"," ","Total","d","> 6 months",80
"1998/99","S08000029"," ","SMR01"," ","< 1 day",60
"1998/99","S08000029"," ","SMR01"," ","1 - 7 days",130
"1998/99","S08000029"," ","SMR01"," ","8 - 28 days",40
"1998/99","S08000029"," ","SMR01"," ","29 days - 6 months",40
"1998/99","S08000029"," ","SMR01"," ","> 6 months",10
"1998/99","S08000029"," ","SMR04"," ","< 1 day",40
"1998/99","S08000029"," ","SMR04"," ","1 - 7 days",490
"1998/99","S08000029"," ","SMR04"," ","8 - 28 days",620
"1998/99","S08000029"," ","SMR04"," ","29 days - 6 months",500
"1998/99","S08000029"," ","SMR04"," ","> 6 months",120
"1998/99","S08000029"," ","Total","d","< 1 day",100
"1998/99","S08000029"," ","Total","d","1 - 7 days",620
"1998/99","S08000029"," ","Total","d","8 - 28 days",650
"1998/99","S08000029"," ","Total","d","29 days - 6 months",540
"1998/99","S08000029"," ","Total","d","> 6 months",130
"1998/99","S08000019"," ","SMR01"," ","< 1 day",50
"1998/99","S08000019"," ","SMR01"," ","1 - 7 days",140
"1998/99","S08000019"," ","SMR01"," ","8 - 28 days",60
"1998/99","S08000019"," ","SMR01"," ","29 days - 6 months",20
"1998/99","S08000019"," ","SMR01"," ","> 6 months",0
"1998/99","S08000019"," ","SMR04"," ","< 1 day",90
"1998/99","S08000019"," ","SMR04"," ","1 - 7 days",220
"1998/99","S08000019"," ","SMR04"," ","8 - 28 days",410
"1998/99","S08000019"," ","SMR04"," ","29 days - 6 months",420
"1998/99","S08000019"," ","SMR04"," ","> 6 months",90
"1998/99","S08000019"," ","Total","d","< 1 day",150
"1998/99","S08000019"," ","Total","d","1 - 7 days",360
"1998/99","S08000019"," ","Total","d","8 - 28 days",480
"1998/99","S08000019"," ","Total","d","29 days - 6 months",440
"1998/99","S08000019"," ","Total","d","> 6 months",90
"1998/99","S08000020"," ","SMR01"," ","< 1 day",160
"1998/99","S08000020"," ","SMR01"," ","1 - 7 days",460
"1998/99","S08000020"," ","SMR01"," ","8 - 28 days",200
"1998/99","S08000020"," ","SMR01"," ","29 days - 6 months",90
"1998/99","S08000020"," ","SMR01"," ","> 6 months",0
"1998/99","S08000020"," ","SMR04"," ","< 1 day",40
"1998/99","S08000020"," ","SMR04"," ","1 - 7 days",580
"1998/99","S08000020"," ","SMR04"," ","8 - 28 days",930
"1998/99","S08000020"," ","SMR04"," ","29 days - 6 months",710
"1998/99","S08000020"," ","SMR04"," ","> 6 months",190
"1998/99","S08000020"," ","Total","d","< 1 day",200
"1998/99","S08000020"," ","Total","d","1 - 7 days",1040
"1998/99","S08000020"," ","Total","d","8 - 28 days",1130
"1998/99","S08000020"," ","Total","d","29 days - 6 months",790
"1998/99","S08000020"," ","Total","d","> 6 months",190
"1998/99","S08000031"," ","SMR01"," ","< 1 day",330
"1998/99","S08000031"," ","SMR01"," ","1 - 7 days",1210
"1998/99","S08000031"," ","SMR01"," ","8 - 28 days",480
"1998/99","S08000031"," ","SMR01"," ","29 days - 6 months",380
"1998/99","S08000031"," ","SMR01"," ","> 6 months",40
"1998/99","S08000031"," ","SMR04"," ","< 1 day",170
"1998/99","S08000031"," ","SMR04"," ","1 - 7 days",1830
"1998/99","S08000031"," ","SMR04"," ","8 - 28 days",2700
"1998/99","S08000031"," ","SMR04"," ","29 days - 6 months",2190
"1998/99","S08000031"," ","SMR04"," ","> 6 months",660
"1998/99","S08000031"," ","Total","d","< 1 day",500
"1998/99","S08000031"," ","Total","d","1 - 7 days",3040
"1998/99","S08000031"," ","Total","d","8 - 28 days",3180
"1998/99","S08000031"," ","Total","d","29 days - 6 months",2570
"1998/99","S08000031"," ","Total","d","> 6 months",700
"1998/99","S08000022"," ","SMR01"," ","< 1 day",200
"1998/99","S08000022"," ","SMR01"," ","1 - 7 days",540
"1998/99","S08000022"," ","SMR01"," ","8 - 28 days",180
"1998/99","S08000022"," ","SMR01"," ","29 days - 6 months",80
"1998/99","S08000022"," ","SMR01"," ","> 6 months",10
"1998/99","S08000022"," ","SMR04"," ","< 1 day",20
"1998/99","S08000022"," ","SMR04"," ","1 - 7 days",500
"1998/99","S08000022"," ","SMR04"," ","8 - 28 days",800
"1998/99","S08000022"," ","SMR04"," ","29 days - 6 months",540
"1998/99","S08000022"," ","SMR04"," ","> 6 months",120
"1998/99","S08000022"," ","Total","d","< 1 day",220
"1998/99","S08000022"," ","Total","d","1 - 7 days",1050
"1998/99","S08000022"," ","Total","d","8 - 28 days",980
"1998/99","S08000022"," ","Total","d","29 days - 6 months",610
"1998/99","S08000022"," ","Total","d","> 6 months",120
"1998/99","S08000032"," ","SMR01"," ","< 1 day",150
"1998/99","S08000032"," ","SMR01"," ","1 - 7 days",370
"1998/99","S08000032"," ","SMR01"," ","8 - 28 days",100
"1998/99","S08000032"," ","SMR01"," ","29 days - 6 months",80
"1998/99","S08000032"," ","SMR01"," ","> 6 months",0
"1998/99","S08000032"," ","SMR04"," ","< 1 day",70
"1998/99","S08000032"," ","SMR04"," ","1 - 7 days",630
"1998/99","S08000032"," ","SMR04"," ","8 - 28 days",970
"1998/99","S08000032"," ","SMR04"," ","29 days - 6 months",670
"1998/99","S08000032"," ","SMR04"," ","> 6 months",180
"1998/99","S08000032"," ","Total","d","< 1 day",220
"1998/99","S08000032"," ","Total","d","1 - 7 days",1000
"1998/99","S08000032"," ","Total","d","8 - 28 days",1080
"1998/99","S08000032"," ","Total","d","29 days - 6 months",760
"1998/99","S08000032"," ","Total","d","> 6 months",180
"1998/99","S08000024"," ","SMR01"," ","< 1 day",210
"1998/99","S08000024"," ","SMR01"," ","1 - 7 days",470
"1998/99","S08000024"," ","SMR01"," ","8 - 28 days",200
"1998/99","S08000024"," ","SMR01"," ","29 days - 6 months",140
"1998/99","S08000024"," ","SMR01"," ","> 6 months",10
"1998/99","S08000024"," ","SMR04"," ","< 1 day",80
"1998/99","S08000024"," ","SMR04"," ","1 - 7 days",1290
"1998/99","S08000024"," ","SMR04"," ","8 - 28 days",1980
"1998/99","S08000024"," ","SMR04"," ","29 days - 6 months",1280
"1998/99","S08000024"," ","SMR04"," ","> 6 months",300
"1998/99","S08000024"," ","Total","d","< 1 day",290
"1998/99","S08000024"," ","Total","d","1 - 7 days",1760
"1998/99","S08000024"," ","Total","d","8 - 28 days",2180
"1998/99","S08000024"," ","Total","d","29 days - 6 months",1420
"1998/99","S08000024"," ","Total","d","> 6 months",300
"1998/99","S08000025"," ","SMR01"," ","< 1 day",20
"1998/99","S08000025"," ","SMR01"," ","1 - 7 days",30
"1998/99","S08000025"," ","SMR01"," ","8 - 28 days",10
"1998/99","S08000025"," ","SMR01"," ","29 days - 6 months",0
"1998/99","S08000025"," ","SMR01"," ","> 6 months",0
"1998/99","S08000025"," ","SMR04"," ","< 1 day",0
"1998/99","S08000025"," ","SMR04"," ","1 - 7 days",0
"1998/99","S08000025"," ","SMR04"," ","8 - 28 days",0
"1998/99","S08000025"," ","SMR04"," ","29 days - 6 months",0
"1998/99","S08000025"," ","SMR04"," ","> 6 months",0
"1998/99","S08000025"," ","Total","d","< 1 day",20
"1998/99","S08000025"," ","Total","d","1 - 7 days",30
"1998/99","S08000025"," ","Total","d","8 - 28 days",10
"1998/99","S08000025"," ","Total","d","29 days - 6 months",0
"1998/99","S08000025"," ","Total","d","> 6 months",0
"1998/99","S08000026"," ","SMR01"," ","< 1 day",40
"1998/99","S08000026"," ","SMR01"," ","1 - 7 days",60
"1998/99","S08000026"," ","SMR01"," ","8 - 28 days",10
"1998/99","S08000026"," ","SMR01"," ","29 days - 6 months",10
"1998/99","S08000026"," ","SMR01"," ","> 6 months",0
"1998/99","S08000026"," ","SMR04"," ","< 1 day",0
"1998/99","S08000026"," ","SMR04"," ","1 - 7 days",0
"1998/99","S08000026"," ","SMR04"," ","8 - 28 days",0
"1998/99","S08000026"," ","SMR04"," ","29 days - 6 months",0
"1998/99","S08000026"," ","SMR04"," ","> 6 months",0
"1998/99","S08000026"," ","Total","d","< 1 day",40
"1998/99","S08000026"," ","Total","d","1 - 7 days",60
"1998/99","S08000026"," ","Total","d","8 - 28 days",10
"1998/99","S08000026"," ","Total","d","29 days - 6 months",10
"1998/99","S08000026"," ","Total","d","> 6 months",0
"1998/99","S08000030"," ","SMR01"," ","< 1 day",160
"1998/99","S08000030"," ","SMR01"," ","1 - 7 days",300
"1998/99","S08000030"," ","SMR01"," ","8 - 28 days",140
"1998/99","S08000030"," ","SMR01"," ","29 days - 6 months",80
"1998/99","S08000030"," ","SMR01"," ","> 6 months",10
"1998/99","S08000030"," ","SMR04"," ","< 1 day",50
"1998/99","S08000030"," ","SMR04"," ","1 - 7 days",630
